lambda (nm),n,alpha (deg),f,TE
1300,1.5,32,0.34,0.641844854
1300,1.5,32,0.36,0.656514908
1300,1.5,32,0.38,0.685163965
1300,1.5,32,0.4,0.724628553
1300,1.5,32,0.42,0.770626276
1300,1.5,32,0.44,0.817638941
1300,1.5,32,0.46,0.860191536
1300,1.5,32,0.48,0.894495022
1300,1.5,32,0.5,0.918941471
1300,1.5,34,0.3,0.640113515
1300,1.5,34,0.32,0.622929367
1300,1.5,34,0.34,0.6224979
1300,1.5,34,0.36,0.63766881
1300,1.5,34,0.38,0.666506504
1300,1.5,34,0.4,0.705792821
1300,1.5,34,0.42,0.751163209
1300,1.5,34,0.44,0.797043952
1300,1.5,34,0.46,0.838009914
1300,1.5,34,0.48,0.870488604
1300,1.5,34,0.5,0.893192876
1300,1.5,36,0.3,0.601319356
1300,1.5,36,0.32,0.585838068
1300,1.5,36,0.34,0.586826411
1300,1.5,36,0.36,0.603147204
1300,1.5,36,0.38,0.632849968
1300,1.5,36,0.4,0.672596472
1300,1.5,36,0.42,0.717762256
1300,1.5,36,0.44,0.762474124
1300,1.5,36,0.46,0.801166336
1300,1.5,36,0.48,0.830483259
1300,1.5,36,0.5,0.849678265
1300,1.5,38,0.3,0.534514685
1300,1.5,38,0.32,0.522296454
1300,1.5,38,0.34,0.527114479
1300,1.5,38,0.36,0.547581718
1300,1.5,38,0.38,0.580901875
1300,1.5,38,0.4,0.621580346
1300,1.5,38,0.42,0.661358027
1300,1.5,38,0.44,0.690473147
1300,1.5,38,0.46,0.701428802
1300,1.5,38,0.48,0.692009063
1300,1.5,38,0.5,0.664057695
1300,1.5,40,0.3,0.499752577
1300,1.5,40,0.32,0.486085491
1300,1.5,40,0.34,0.487107493
1300,1.5,40,0.36,0.502038072
1300,1.5,40,0.38,0.529497702
1300,1.5,40,0.4,0.567017267
1300,1.5,40,0.42,0.610939092
1300,1.5,40,0.44,0.656192049
1300,1.5,40,0.46,0.697374236
1300,1.5,40,0.48,0.730455593
1300,1.5,40,0.5,0.753573342
1300,1.5,42,0.3,0.428276098
1300,1.5,42,0.32,0.417370438
1300,1.5,42,0.34,0.421067992
1300,1.5,42,0.36,0.438783397
1300,1.5,42,0.38,0.46922702
1300,1.5,42,0.4,0.509645308
1300,1.5,42,0.42,0.555410264
1300,1.5,42,0.44,0.599867672
1300,1.5,42,0.46,0.636015618
1300,1.5,42,0.48,0.659166198
1300,1.5,42,0.5,0.667924911
1300,1.5,44,0.3,0.354870944
1300,1.5,44,0.32,0.346267446
1300,1.5,44,0.34,0.352225284
1300,1.5,44,0.36,0.372592452
1300,1.5,44,0.38,0.406239431
1300,1.5,44,0.4,0.44953898
1300,1.5,44,0.42,0.494863885
1300,1.5,44,0.44,0.530028703
1300,1.5,44,0.46,0.541390662
1300,1.5,44,0.48,0.518479114
1300,1.5,44,0.5,0.452421385
1300,1.5,46,0.3,0.274298516
1300,1.5,46,0.32,0.267071774
1300,1.5,46,0.34,0.274645453
1300,1.5,46,0.36,0.296664864
1300,1.5,46,0.38,0.326051689
1300,1.5,46,0.4,0.334197611
1300,1.5,46,0.42,0.266647528
1300,1.5,46,0.44,0.123995811
1300,1.5,46,0.46,0.01589039
1300,1.5,46,0.48,0.012974702
1300,1.5,46,0.5,0.110211791
1300,1.5,48,0.3,0.055502325
1300,1.5,48,0.32,0.018387334
1300,1.5,48,0.34,0.077920864
1300,1.5,48,0.36,0.111291368
1300,1.5,48,0.38,0.126466181
1300,1.5,48,0.4,0.14120335
1300,1.5,48,0.42,0.162124345
1300,1.5,48,0.44,0.192542554
1300,1.5,48,0.46,0.23424335
1300,1.5,48,0.48,0.287456249
1300,1.5,48,0.5,0.349438969
1300,1.5,50,0.3,0.209143595
1300,1.5,50,0.32,0.184769068
1300,1.5,50,0.34,0.169736951
1300,1.5,50,0.36,0.163183162
1300,1.5,50,0.38,0.164736977
1300,1.5,50,0.4,0.174511664
1300,1.5,50,0.42,0.192836752
1300,1.5,50,0.44,0.219896625
1300,1.5,50,0.46,0.255237395
1300,1.5,50,0.48,0.297289986
1300,1.5,50,0.5,0.342824346
1300,1.6,30,0.3,0.577793632
1300,1.6,30,0.32,0.563059755
1300,1.6,30,0.34,0.566572457
1300,1.6,30,0.36,0.586984098
1300,1.6,30,0.38,0.622313954
1300,1.6,30,0.4,0.669640245
1300,1.6,30,0.42,0.724750618
1300,1.6,30,0.44,0.781964687
1300,1.6,30,0.46,0.835621599
1300,1.6,30,0.48,0.881298219
1300,1.6,30,0.5,0.916927999
1300,1.6,32,0.3,0.576142083
1300,1.6,32,0.32,0.561622055
1300,1.6,32,0.34,0.565165948
1300,1.6,32,0.36,0.585412033
1300,1.6,32,0.38,0.62033827
