lambda,n,angle,h,TM
1300,1.4,70,4000,0.134414345
1300,1.5,50,2000,0.16429585
1300,1.5,50,2200,0.196782334
1300,1.5,50,2400,0.230470163
1300,1.5,50,2600,0.26562463
1300,1.5,50,2800,0.303158955
1300,1.5,50,3000,0.341810008
1300,1.5,50,3200,0.380762187
1300,1.5,50,3400,0.420760022
1300,1.5,50,3600,0.461437179
1300,1.5,50,3800,0.50176101
1300,1.5,50,4000,0.54172005
1300,1.5,52,2000,0.162680909
1300,1.5,52,2200,0.194730912
1300,1.5,52,2400,0.228003192
1300,1.5,52,2600,0.262521141
1300,1.5,52,2800,0.299227695
1300,1.5,52,3000,0.337033321
1300,1.5,52,3200,0.375017085
1300,1.5,52,3400,0.413714302
1300,1.5,52,3600,0.452854546
1300,1.5,52,3800,0.491538851
1300,1.5,52,4000,0.52953463
1300,1.5,54,2000,0.16057929
1300,1.5,54,2200,0.192040271
1300,1.5,54,2400,0.224726082
1300,1.5,54,2600,0.258427519
1300,1.5,54,2800,0.294040978
1300,1.5,54,3000,0.33063074
1300,1.5,54,3200,0.367247036
1300,1.5,54,3400,0.404177514
1300,1.5,54,3600,0.441115309
1300,1.5,54,3800,0.477337177
1300,1.5,54,4000,0.512512163
1300,1.5,56,2000,0.158101074
1300,1.5,56,2200,0.188846508
1300,1.5,56,2400,0.220790238
1300,1.5,56,2600,0.25353231
1300,1.5,56,2800,0.287834486
1300,1.5,56,3000,0.322846039
1300,1.5,56,3200,0.357684904
1300,1.5,56,3400,0.392413606
1300,1.5,56,3600,0.426508391
1300,1.5,56,3800,0.459398938
1300,1.5,56,4000,0.49086364
1300,1.5,58,2000,0.155347451
1300,1.5,58,2200,0.185280452
1300,1.5,58,2400,0.216340465
1300,1.5,58,2600,0.248006148
1300,1.5,58,2800,0.280828828
1300,1.5,58,3000,0.313927588
1300,1.5,58,3200,0.346569423
1300,1.5,58,3400,0.378690552
1300,1.5,58,3600,0.40938247
1300,1.5,58,3800,0.438110732
1300,1.5,58,4000,0.464990568
1300,1.5,60,2000,0.152406254
1300,1.5,60,2200,0.181461908
1300,1.5,60,2400,0.21151083
1300,1.5,60,2600,0.241997167
1300,1.5,60,2800,0.273220649
1300,1.5,60,3000,0.304123639
1300,1.5,60,3200,0.334155231
1300,1.5,60,3400,0.363291133
1300,1.5,60,3600,0.390148439
1300,1.5,60,3800,0.414027278
1300,1.5,60,4000,0.435541822
1300,1.5,62,2000,0.149347777
1300,1.5,62,2200,0.177493539
1300,1.5,62,2400,0.206420247
1300,1.5,62,2600,0.235628699
1300,1.5,62,2800,0.265175327
1300,1.5,62,3000,0.293672674
1300,1.5,62,3200,0.32071635
1300,1.5,62,3400,0.346520608
1300,1.5,62,3600,0.369262778
1300,1.5,62,3800,0.387844094
1300,1.5,62,4000,0.403405891
1300,1.5,64,2000,0.146220716
1300,1.5,64,2200,0.173454391
1300,1.5,64,2400,0.201167031
1300,1.5,64,2600,0.228997919
1300,1.5,64,2800,0.256821862
1300,1.5,64,3000,0.282790453
1300,1.5,64,3200,0.306540193
1300,1.5,64,3400,0.3287094
1300,1.5,64,3600,0.347203522
1300,1.5,64,3800,0.360333556
1300,1.5,64,4000,0.369642205
1300,1.5,66,2000,0.143047757
1300,1.5,66,2200,0.169392895
1300,1.5,66,2400,0.195821721
1300,1.5,66,2600,0.222173593
1300,1.5,66,2800,0.24824945
1300,1.5,66,3000,0.271655974
