lambda,n,angle,h,TE
1300,1.5,56,2400,0.826665896
1300,1.5,56,2600,0.810303233
1300,1.5,56,2800,0.767552273
1300,1.5,56,3000,0.699255323
1300,1.5,56,3200,0.611710682
1300,1.5,56,3400,0.511615634
1300,1.5,56,3600,0.405098432
1300,1.5,56,3800,0.299299115
1300,1.5,56,4000,0.20172361
1300,1.5,58,2000,0.743511502
1300,1.5,58,2200,0.773889418
1300,1.5,58,2400,0.772392002
1300,1.5,58,2600,0.744241377
1300,1.5,58,2800,0.691286293
1300,1.5,58,3000,0.61497592
1300,1.5,58,3200,0.522366726
1300,1.5,58,3400,0.421142899
1300,1.5,58,3600,0.318038046
1300,1.5,58,3800,0.220185744
1300,1.5,58,4000,0.134761119
1300,1.5,60,2000,0.709263617
1300,1.5,60,2200,0.728665496
1300,1.5,60,2400,0.71522409
1300,1.5,60,2600,0.675564694
1300,1.5,60,2800,0.613209202
1300,1.5,60,3000,0.530443208
1300,1.5,60,3200,0.434880161
1300,1.5,60,3400,0.335010447
1300,1.5,60,3600,0.238068947
1300,1.5,60,3800,0.150953051
1300,1.5,60,4000,0.080135701
1300,1.5,62,2000,0.67325113
1300,1.5,62,2200,0.681772793
1300,1.5,62,2400,0.656995217
1300,1.5,62,2600,0.606718491
1300,1.5,62,2800,0.536314842
1300,1.5,62,3000,0.449105428
1300,1.5,62,3200,0.353060955
1300,1.5,62,3400,0.257178962
1300,1.5,62,3600,0.168968544
1300,1.5,62,3800,0.094830472
1300,1.5,62,4000,0.040172955
1300,1.5,64,2000,0.636252906
1300,1.5,64,2200,0.634330882
1300,1.5,64,2400,0.599249866
1300,1.5,64,2600,0.53971607
1300,1.5,64,2800,0.462980621
1300,1.5,64,3000,0.37353099
1300,1.5,64,3200,0.279513613
1300,1.5,64,3400,0.190067569
1300,1.5,64,3600,0.112656348
1300,1.5,64,3800,0.052907598
1300,1.5,64,4000,0.014860406
1300,1.5,66,2000,0.5989314
1300,1.5,66,2200,0.587274578
1300,1.5,66,2400,0.543223108
1300,1.5,66,2600,0.476109195
1300,1.5,66,2800,0.394948722
1300,1.5,66,3000,0.305431382
1300,1.5,66,3200,0.215717221
1300,1.5,66,3400,0.134710019
1300,1.5,66,3600,0.069466365
1300,1.5,66,3800,0.024573733
1300,1.5,66,4000,0.002491173
1300,1.5,68,2000,0.561807226
1300,1.5,68,2200,0.541338244
1300,1.5,68,2400,0.489836538
1300,1.5,68,2600,0.41699079
1300,1.5,68,2800,0.333350832
1300,1.5,68,3000,0.245742144
1300,1.5,68,3200,0.162189175
1300,1.5,68,3400,0.091018065
1300,1.5,68,3600,0.038532406
1300,1.5,68,3800,0.008054714
1300,1.5,68,4000,3.67E-04
1300,1.5,70,2000,0.52523032
1300,1.5,70,2200,0.497040441
1300,1.5,70,2400,0.439705019
1300,1.5,70,2600,0.363022928
1300,1.5,70,2800,0.278766788
1300,1.5,70,3000,0.194740702
1300,1.5,70,3200,0.118691591
1300,1.5,70,3400,0.058090573
1300,1.5,70,3600,0.01820547
1300,1.5,70,3800,9.42E-04
1300,1.5,70,4000,0.005427956
1300,1.6,50,2000,0.947470378
1300,1.6,50,2200,0.97172661
1300,1.6,50,2400,0.957588183
1300,1.6,50,2600,0.906062334
1300,1.6,50,2800,0.820399809
1300,1.6,50,3000,0.70818039
1300,1.6,50,3200,0.578547239
1300,1.6,50,3400,0.441449836
1300,1.6,50,3600,0.307869577
1300,1.6,50,3800,0.188702741
1300,1.6,50,4000,0.093260386
1300,1.6,52,2000,0.927906694
1300,1.6,52,2200,0.94548752
1300,1.6,52,2400,0.924902018
1300,1.6,52,2600,0.867793928
1300,1.6,52,2800,0.77735576
1300,1.6,52,3000,0.662132254
1300,1.6,52,3200,0.531920578
1300,1.6,52,3400,0.396819623
1300,1.6,52,3600,0.267932159
1300,1.6,52,3800,0.156062112
1300,1.6,52,4000,0.070077622
1300,1.6,54,2000,0.902281512
1300,1.6,54,2200,0.911374243
1300,1.6,54,2400,0.882551091
1300,1.6,54,2600,0.818463771
1300,1.6,54,2800,0.722430181
1300,1.6,54,3000,0.60400321
1300,1.6,54,3200,0.473814245
1300,1.6,54,3400,0.342202924
1300,1.6,54,3600,0.220268476
1300,1.6,54,3800,0.118544094
1300,1.6,54,4000,0.045219882
1300,1.6,56,2000,0.871708868
1300,1.6,56,2200,0.871094037
1300,1.6,56,2400,0.832875268
1300,1.6,56,2600,0.761095964
1300,1.6,56,2800,0.659408271
1300,1.6,56,3000,0.538297232
1300,1.6,56,3200,0.40930842
1300,1.6,56,3400,0.283057596
1300,1.6,56,3600,0.170442769
1300,1.6,56,3800,0.081463556
1300,1.6,56,4000,0.023345761
1300,1.6,58,2000,0.837263543
1300,1.6,58,2200,0.826292213
1300,1.6,58,2400,0.778137506
1300,1.6,58,2600,0.698586103
1300,1.6,58,2800,0.59185363
1300,1.6,58,3000,0.469194444
1300,1.6,58,3200,0.343024661
1300,1.6,58,3400,0.224199693
1300,1.6,58,3600,0.123169423
