lambda (nm),n,alpha (deg),f,TM
1300,1.5,34,0.34,0.835843944
1300,1.5,34,0.36,0.883519058
1300,1.5,34,0.38,0.915308654
1300,1.5,34,0.4,0.934185187
1300,1.5,34,0.42,0.943838798
1300,1.5,34,0.44,0.94776698
1300,1.5,34,0.46,0.948742143
1300,1.5,34,0.48,0.948887958
1300,1.5,34,0.5,0.94937822
1300,1.5,36,0.3,0.663338669
1300,1.5,36,0.32,0.741863995
1300,1.5,36,0.34,0.805438754
1300,1.5,36,0.36,0.852543965
1300,1.5,36,0.38,0.884200288
1300,1.5,36,0.4,0.903156568
1300,1.5,36,0.42,0.912906094
1300,1.5,36,0.44,0.916849645
1300,1.5,36,0.46,0.917733945
1300,1.5,36,0.48,0.917687221
1300,1.5,36,0.5,0.917947999
1300,1.5,38,0.3,0.627425984
1300,1.5,38,0.32,0.7028516
1300,1.5,38,0.34,0.764359702
1300,1.5,38,0.36,0.810282378
1300,1.5,38,0.38,0.841374384
1300,1.5,38,0.4,0.860112019
1300,1.5,38,0.42,0.869736275
1300,1.5,38,0.44,0.87351286
1300,1.5,38,0.46,0.874139463
1300,1.5,38,0.48,0.873740399
1300,1.5,38,0.5,0.873641928
1300,1.5,40,0.3,0.584981781
1300,1.5,40,0.32,0.656284826
1300,1.5,40,0.34,0.714820322
1300,1.5,40,0.36,0.758795343
1300,1.5,40,0.38,0.788680568
1300,1.5,40,0.4,0.806636687
1300,1.5,40,0.42,0.815592544
1300,1.5,40,0.44,0.818620372
1300,1.5,40,0.46,0.818323189
1300,1.5,40,0.48,0.8167915
1300,1.5,40,0.5,0.815471474
1300,1.5,42,0.3,0.541767001
1300,1.5,42,0.32,0.606682508
1300,1.5,42,0.34,0.65886011
1300,1.5,42,0.36,0.694995956
1300,1.5,42,0.38,0.710195461
1300,1.5,42,0.4,0.674431677
1300,1.5,42,0.42,0.024922737
1300,1.5,42,0.44,0.756724429
1300,1.5,42,0.46,0.778914387
